Browser,BrowserVersion,OS,OSVersion,DeviceType
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Edge,87.0.664.75,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Edge,87.0.664.60,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Edge,91.0.864.54,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,12.4.5605.400,Windows,7,Desktop
QQBrowser,12.4.5623.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Edge,99.0.1150.39,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Firefox,50.0,Windows,7,Desktop
Firefox,55.0,Windows,7,Desktop
Firefox,53.0,Windows,7,Desktop
Firefox,53.0,Windows,7,Desktop
Firefox,54.0,Windows,7,Desktop
Firefox,56.0,Windows,7,Desktop
Firefox,8.0,Windows,7,Desktop
Other,,Windows,7,Desktop
Other,,Windows,7,Desktop
Other,,Windows,7,Desktop
Other,,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,9.0.3100.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,9.4.7961.400,Windows,7,Desktop
QQBrowser,9.4.8309.400,Windows,7,Desktop
QQBrowser,9.4.9017.400,Windows,7,Desktop
QQBrowser,9.3.6873.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Qaxbrowser,,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QIHU 360ENT,,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Spider,,Windows,7,Spider
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,9.5.10771.400,Windows,7,Desktop
QQBrowser,9.6.10990.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Maxthon,5.2.7.5000,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
115Browser,9.2.1,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,10.5.3868.400,Windows,7,Desktop
QQBrowser,10.8.4405.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QIHU 360ENT,,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Qaxbrowser,,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,11.1.5155.400,Windows,7,Desktop
QQBrowser,11.4.5225.400,Windows,7,Desktop
QQBrowser,11.5.5250.400,Windows,7,Desktop
QQBrowser,11.9.5355.400,Windows,7,Desktop
QQBrowser,12.3.5566.400,Windows,7,Desktop
QQBrowser,12.4.5604.400,Windows,7,Desktop
QQBrowser,12.4.5622.400,Windows,7,Desktop
QQBrowser,12.5.5638.400,Windows,7,Desktop
QQBrowser,12.5.5644.400,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
SMTBot,1.0,Windows,7,Spider
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,9.4.8700.400,Windows,7,Desktop
QQBrowser,9.4.8772.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,9.5.9092.400,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
MicroMessenger,7.0.20.1781,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Edge,109.0.1518.140,Windows,7,Desktop
Edge,109.0.1518.78,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
QQBrowser,11.4.5225.400,Windows,7,Desktop
Sogou,1.0,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,7,Desktop
Safari,537.36,Windows,8,Desktop
Firefox,42.0,Windows,8,Desktop
Safari,537.36,Windows,8,Desktop
QQBrowser,9.4.8262.400,Windows,8,Desktop
Safari,537.36,Windows,8,Desktop
Safari,537.36,Windows,8,Desktop
Safari,537.36,Windows,8,Desktop
Sogou,1.0,Windows,8,Desktop
Safari,537.32,Windows,8,Desktop
Safari,537.32,Windows,8,Desktop
Safari,537.36,Windows,8,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Edge,109.0.1518.140,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Other,,Windows,8.1,Desktop
Other,,Windows,8.1,Desktop
Other,,Windows,8.1,Desktop
QQBrowser,9.3.7101.400,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
QIHU 360ENT,,Windows,8.1,Desktop
Sogou,1.0,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Sogou,1.0,Windows,8.1,Desktop
Sogou,1.0,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,8.1,Desktop
Safari,537.36,Windows,7_0,Desktop
Safari,537.36,Windows,7_1,Desktop
Safari,537.36,Windows,8_1,Desktop
Safari,537.36,Windows,9_0_2,Desktop
Safari,537.36,Windows,9_0,Desktop
IE,9.0,Windows,9.1,Desktop
Other,,Windows,XP,Desktop
Firefox,3.6.26,Windows,XP,Desktop
Firefox,47.0,Linux,,Desktop
Firefox,95.0,Linux,,Desktop
Firefox,78.0,Linux,,Desktop
Qaxbrowser,,Linux,,Desktop
Qaxbrowser,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
UOS Professional,,Linux,,Desktop
QIHU 360ENT,,Linux,,Desktop
Qaxbrowser,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
QIHU 360ENT,,Linux,,Desktop
Qaxbrowser,,Linux,,Desktop
UOS,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
QIHU 360ENT,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
UOS Professional,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Chrome,,Linux,,Desktop
Firefox,102.0,Linux,,Desktop
Firefox,107.0,Linux,,Desktop
Firefox,110.0,Linux,,Desktop
Firefox,115.0,Linux,,Desktop
Firefox,124.0,Linux,,Desktop
Firefox,125.0,Linux,,Desktop
Firefox,68.0,Linux,,Desktop
Firefox,73.0,Linux,,Desktop
Firefox,78.0,Linux,,Desktop
Firefox,91.0,Linux,,Desktop
Mozilla,5.0,Linux,,Bot
Safari,537.11,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Edge,124.0.0.0,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
UOS,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Qaxbrowser,,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Safari,537.36,Linux,,Desktop
Firefox,123.0,Linux,,Desktop
Firefox,16.0,Linux,,Desktop
Firefox,1.0.7,Linux,,Desktop
Firefox,78.0,Linux,,Desktop
Firefox,110.0,Linux,,Desktop
Firefox,123.0,Linux,,Desktop
Firefox,71.0,Linux,,Desktop
Firefox,90.0,Linux,,Desktop
Safari,537.36,Windows,10,Desktop
bingbot,2.0,Other,,Spider
bingbot,2.0,Other,,Spider
bingbot,2.0,Other,,Spider
Googlebot,2.1,Other,,Spider
GPTBot,1.0,Other,,Spider
Mozilla,5.0,Other,,Bot
Mozilla,5.0,Other,,Bot
Baiduspider-render,2.0,Other,,Spider
Baiduspider,2.0,Other,,Spider
Baiduspider,2.0,Android,4.2.2,Spider
Firefox,3.6,Windows,7,Desktop
Other,,Windows,7,Desktop
Safari,537.36,Android,7.0,Mobile
msnbot,1.0,Other,,Spider
okhttp,3.11.0,Other,,Bot
okhttp,3.14.9,Other,,Bot
okhttp,4.9.1,Other,,Bot
UCWEB,7.0.2.37,Other,,Bot
Opera,7.51,Linux,,Desktop
Opera,8.54,Linux,,Desktop
Opera,9.80,Windows,XP,Desktop
Opera,9.80,Windows,XP,Desktop
Opera,9.80,Windows,Vista,Desktop
Opera,9.80,Windows,7,Desktop
Opera,9.80,Linux,,Desktop
PostmanRuntime,7.28.4,Other,,Bot
python-requests,2.22.0,Other,,Bot
python-requests,2.25.1,Other,,Bot
python-requests,2.26.0,Other,,Bot
python-requests,2.27.1,Other,,Bot
python-requests,2.31.0,Other,,Bot
python-requests,2.32.2,Other,,Bot
Python-urllib,3.6,Other,,Bot
Python-urllib,3.7,Other,,Bot
Python,3.11,Other,,Bot
Python,3.7,Other,,Bot
RestSharp,104.0.0.0,Other,,Bot
RestSharp,106.6.3.0,Other,,Bot
Opera,,Other,,Other
Spider,3.0,Other,,Spider
spider,4.0,Other,,Spider
spider,3.0,Other,,Spider
spider,4.0,Other,,Spider
SuperBot,4.4.0.60,Other,,Spider
IE,6.0,Windows,XP,Desktop
IE,7.0,Windows,XP,Desktop
IE,8.0,Windows,Vista,Desktop
Safari,534.50,macOS,10.6.8,Desktop
Other,,Other,,Other
Wget,1.11.4,Other,,Bot
Wget,1.12,Other,,Bot
Wget,1.14,Other,,Bot
WhatsApp,3.0.0.0,Other,,Bot
YisouSpider,,Other,,Spider
